address,price,extPrice,area,room,toilet,hDirection,bDirection
"Đường Nguyễn Thiện Kế, Phường An Hải Đông, Sơn Trà, Đà Nẵng","4,4 tỷ","~52,38 triệu/m²",84 m²,Đông,Sổ đỏ/ Sổ hồng.,6 m,5.5 m
"Dự án The Point, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,427 m²,2 tầng,,15 m,20.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,6 tỷ","~43,67 triệu/m²","82,5 m²",2 phòng,2 phòng,Đông - Bắc,Đông - Bắc
"Đường Trần Đình Tri, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","3,55 tỷ","~59,17 triệu/m²",60 m²,,,,
"Đường Thép Mới, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,5 tỷ",~25 triệu/m²,100 m²,Bắc,Đã có sổ hồng.,5 m,7.5 m
"Đường An Đồn 5, Phường An Hải Bắc, Sơn Trà, Đà Nẵng","7,3 tỷ","~79,69 triệu/m²","91,6 m²",Nam,Sổ đỏ/ Sổ hồng.,4.7 m,5.5 m
"Dự án The Ocean Villas, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",,,,,,,
"Dự án Nam cầu Nguyễn Tri Phương, Đường Bùi Trang Chước, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng","5,49 tỷ","~54,9 triệu/m²",100 m²,2 tầng,3 phòng,5 m,10.5 m
"Dự án The Ocean Villas, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","28,5 tỷ","~46,72 triệu/m²",610 m²,Tây - Bắc,Đông - Nam,20 m,15 m
"Dự án Premier Village, Đường Võ Nguyên Giáp, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng.","31,5 tỷ","~70,63 triệu/m²",446 m²,3 phòng,4 phòng,12 m,3 tầng
"Dự án Golden Hills City, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng","6,6 tỷ",~55 triệu/m²,120 m²,Nam,Nam,6 m,15.5 m
"Dự án The Ocean Villas, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","28,5 tỷ","~47,5 triệu/m²",600 m²,Nam,Nam,10 m,7.5 m
"Dự án Phú Mỹ An, Đường Đào Duy Tùng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",31 triệu/m²,"~11,62 tỷ",375 m²,,,Đông - Bắc,
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","20,5 tỷ","~68,33 triệu/m²",300 m²,5 phòng,Sổ đỏ/ Sổ hồng.,15 m,3 tầng
"Đường An Thượng 29, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",43 tỷ,"~265,43 triệu/m²",162 m²,Bắc,Bắc,9 m,5.5 m
"Đường Mai Thúc Lân, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",40 tỷ,"~242,42 triệu/m²",165 m²,Tây - Nam,7 tầng,7.5 m,15 m
"Đường An Thượng 33, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng","9,5 tỷ","~117,28 triệu/m²",81 m²,Tây,Sổ đỏ/ Sổ hồng.,4.5 m,5.5 m
"Đường Trần Nhân Tông, Phường Thọ Quang, Sơn Trà, Đà Nẵng","5,3 tỷ","~53,53 triệu/m²",99 m²,Tây - Bắc,Tây - Bắc,5 m,10.5 m
"Đường Đỗ Bá, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng","17,5 tỷ","~194,44 triệu/m²",90 m²,Nam,Sổ đỏ/ Sổ hồng.,4.5 m,10.5 m
"Đường Đỗ Bá, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng","17,5 tỷ","~194,44 triệu/m²",90 m²,Nam,Sổ đỏ/ Sổ hồng.,4.5 m,10.5 m
"Đường Lê Quang Đạo, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng.","10,7 tỷ","~129,85 triệu/m²","82,4 m²",Tây,Sổ đỏ/ Sổ hồng,4.5 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,05 tỷ","~26,28 triệu/m²",78 m²,Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,2 phòng
"Dự án FPT City Đà Nẵng, Đường Võ Chí Công, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,8 tỷ","~26,47 triệu/m²",68 m²,2 phòng,Sổ đỏ/ Sổ hồng,Nam,Nam
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",955 triệu,"~19,1 triệu/m²",50 m²,,,1 phòng,1 phòng
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng","1,52 tỷ","~20,29 triệu/m²","74,9 m²",2 phòng,Đang chờ sổ,Đông - Nam,3 phòng
"Dự án Han River Village (Nam Hòa Xuân), Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","13,5 tỷ",~90 triệu/m²,150 m²,Tây - Bắc,Đông - Bắc,7.5 m,25 m
"Đường Đinh Thị Hòa, Phường An Hải Bắc, Sơn Trà, Đà Nẵng",23 tỷ,"~140,24 triệu/m²",164 m²,Tây,7 tầng,7.3 m,7.5 m
"Đường An Hải Đông 1, Phường An Hải Đông, Sơn Trà, Đà Nẵng",26 tỷ,"~75,36 triệu/m²",345 m²,Tây,4 tầng,8 m,5.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,78 m²,,,Đông - Nam,
"Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,75 tỷ","~25,36 triệu/m²",69 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,2 phòng
"Đường ĐT 605, Xã Hòa Tiến, Hòa Vang, Đà Nẵng","2,2 tỷ","~8,59 triệu/m²",256 m²,2 phòng,Sổ đỏ/ Sổ hồng,1 tầng,2 phòng
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,58 tỷ","~22,9 triệu/m²",69 m²,,,2 phòng,2 phòng
"Đường Núi Thành, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",12 tỷ,"~88,89 triệu/m²",135 m²,Tây,Tây,5.4 m,10.5 m
"Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng","8,8 tỷ",~176 triệu/m²,50 m²,Đông - Bắc,5 tầng,4.5 m,45 m
"Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng","8,5 tỷ",~85 triệu/m²,100 m²,Bắc,3 tầng,5 m,7.5 m
"Đường Nguyễn Trung Trực, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","7,5 tỷ",~75 triệu/m²,100 m²,Đông,Sổ đỏ/ Sổ hồng,7 m,7.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,7 tỷ","~42,04 triệu/m²",88 m²,2 phòng,2 phòng,Nam,Bắc
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,470 m²,Tây,Đông,15 m,30 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","4,8 tỷ","~45,71 triệu/m²",105 m²,2 phòng,Hợp đồng mua bán,Đông,3 phòng
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,470 m²,Tây,Đông,15 m,30 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","4,8 tỷ","~45,71 triệu/m²",105 m²,2 phòng,Hợp đồng mua bán,Đông,3 phòng
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,420 m²,3 phòng,3 phòng,Đông - Nam,3 tầng
"Đường An Thượng 1, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",28 tỷ,~350 triệu/m²,80 m²,Nam,Nam,10 m,10 m
"Dự án FPT City Đà Nẵng, Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,75 tỷ","~26,19 triệu/m²",105 m²,Nam,Sổ đỏ/ Sổ hồng,6 m,7.5 m
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng","1,17 tỷ","~20,44 triệu/m²",57 m²,2 phòng,Đang chờ sổ,Đông,2 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,5 tỷ","~56,45 triệu/m²",62 m²,2 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,2 phòng
"Dự án The Ocean Estates, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,427 m²,Đông - Nam,Đông - Nam,15 m,20.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","4,53 tỷ","~54,91 triệu/m²","82,5 m²",Sổ đỏ/ Sổ hồng,,2 phòng,2 phòng
"Đường Nguyễn Đình Hoàn, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",Thỏa thuận,,120 m²,,,6 m,Sổ đỏ/ Sổ hồng.
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,49 m²,,,,
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",5 tỷ,~50 triệu/m²,100 m²,4 phòng,2 phòng,Đông - Nam,Đông - Nam
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,25 tỷ","~25,51 triệu/m²",49 m²,,,Sổ đỏ/ Sổ hồng.,Cơ bản.
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,25 tỷ","~22,32 triệu/m²",56 m²,2 phòng,2 phòng,Đông,Tây
"Dự án Han River Village (Nam Hòa Xuân), Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","2,6 tỷ","~23,64 triệu/m²",110 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,5 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",3 tỷ,"~27,78 triệu/m²",108 m²,Đông,Sổ đỏ/ Sổ hồng,6 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,75 tỷ","~26,04 triệu/m²","105,6 m²",Nam,Sổ đỏ/ Sổ hồng.,6 m,7.5 m
"Dự án Golden Hills City, Đường AC03, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",35 triệu/m²,"~8,75 tỷ",250 m²,Đông - Bắc,Sổ đỏ.,10 m,6 m
"Đường Nhơn Hòa 19, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","5,18 tỷ","~49,33 triệu/m²",105 m²,Tây - Nam,Tây - Nam,7 m,8 m
"Đường Đà Sơn, Phường Hòa Khánh Nam, Liên Chiểu, Đà Nẵng","3,28 tỷ","~19,3 triệu/m²","169,9 m²",Tây,Tây,7 m,5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",3 tỷ,"~27,78 triệu/m²",108 m²,Đông,Sổ đỏ/ Sổ hồng,6 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,75 tỷ","~26,04 triệu/m²","105,6 m²",Nam,Sổ đỏ/ Sổ hồng.,6 m,7.5 m
"Dự án Golden Hills City, Đường AC03, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",35 triệu/m²,"~8,75 tỷ",250 m²,Đông - Bắc,Sổ đỏ.,10 m,6 m
"Đường Nhơn Hòa 19, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","5,18 tỷ","~49,33 triệu/m²",105 m²,Tây - Nam,Tây - Nam,7 m,8 m
"Đường Đà Sơn, Phường Hòa Khánh Nam, Liên Chiểu, Đà Nẵng","3,28 tỷ","~19,3 triệu/m²","169,9 m²",Tây,Tây,7 m,5 m
"Đường Tôn Đản, Phường Hòa An, Cẩm Lệ, Đà Nẵng","6,9 tỷ","~81,27 triệu/m²","84,9 m²",Tây - Nam,Tây - Nam,5 m,7.5 m
"Đường Lý Thái Tổ, Phường Thanh Khê Đông, Thanh Khê, Đà Nẵng",25 tỷ,~200 triệu/m²,125 m²,Đông - Nam,4 tầng,3.6 m,Đông - Nam
"Đường Lê Duẩn, Phường Tân Chính, Thanh Khê, Đà Nẵng","2,8 tỷ","~55,67 triệu/m²","50,3 m²",Đông - Nam,Đông - Nam,7.25 m,2 m
"Đường Nhơn Hòa 1, Phường Hòa An, Cẩm Lệ, Đà Nẵng","2,9 tỷ",~29 triệu/m²,100 m²,Đông,Sổ đỏ/ Sổ hồng,5 m,5.5 m
"Đường Trà Na 4, Phường Hòa Khánh Nam, Liên Chiểu, Đà Nẵng","2,15 tỷ","~22,63 triệu/m²",95 m²,Đông - Nam,,5 m,7.5 m
"Dự án Sơn Trà Ocean View, Đường Ngô Quyền, Phường Thọ Quang, Sơn Trà, Đà Nẵng",Thỏa thuận,,52 m²,Hợp đồng mua bán,,1 phòng,1 phòng
"Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Hải Châu, Đà Nẵng","7,9 tỷ","~108,22 triệu/m²",73 m²,2 tầng,3 phòng,3.3 m,Đông - Bắc
"Đà Nẵng Plaza, 06, Đường Nguyễn Du, Phường Thạch Thang, Hải Châu, Đà Nẵng","2,2 tỷ","~31,88 triệu/m²",69 m²,,,1 phòng,1 phòng
"Đường An Nhơn 8, Phường An Hải Bắc, Sơn Trà, Đà Nẵng","5,2 tỷ","~74,29 triệu/m²",70 m²,Tây - Nam,,5 m,5.5 m
"Đường Trần Nhân Tông, Phường Thọ Quang, Sơn Trà, Đà Nẵng","5,2 tỷ",~52 triệu/m²,100 m²,3 tầng,4 phòng,5 m,10.5 m
"Đường Bùi Huy Bích, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",,,,,,,
"Dự án FPT City Đà Nẵng, Đường Võ Qúy Huân, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,75 tỷ","~25,74 triệu/m²",68 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,2 phòng
"Đường Kinh Dương Vương, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","7,2 tỷ",~80 triệu/m²,90 m²,,,6 phòng,4 phòng
"Đường Ngô Quyền, Phường An Hải Đông, Sơn Trà, Đà Nẵng",32 tỷ,~320 triệu/m²,100 m²,8 tầng,17 phòng,5 m,33 m
"Đường 2/9, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",Thỏa thuận,,125 m²,Sổ đỏ chính chủ,Nội thất gố xịn thang máy,5 m,5 tầng
"Đường Ngô Quyền, Phường An Hải Đông, Sơn Trà, Đà Nẵng",32 tỷ,~320 triệu/m²,100 m²,8 tầng,17 phòng,5 m,33 m
"Đường 2/9, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",Thỏa thuận,,125 m²,Sổ đỏ chính chủ,Nội thất gố xịn thang máy,5 m,5 tầng
"38, Nguyễn Chí Thanh, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",,,,,,,
"Đường Tô Hiến Thành, Phường Phước Mỹ, Sơn Trà, Đà Nẵng","6,4 tỷ","~78,05 triệu/m²",82 m²,Sổ đỏ/ Sổ hồng,,5.2 m,5.5 m
"Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Sơn Trà, Đà Nẵng","3,3 tỷ",~44 triệu/m²,75 m²,2 phòng,Sổ đỏ/ Sổ hồng,2 tầng,3 phòng
"Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng","1,9 tỷ",~19 triệu/m²,100 m²,,,5.5 m,Sổ đỏ/ Sổ hồng
"Đường An Thượng 27, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",,,,,,,
"Đường Đống Đa, Phường Thạch Thang, Hải Châu, Đà Nẵng",,,,,,,
"Phố Lê Thanh Nghị, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",13 tỷ,"~183,1 triệu/m²",71 m²,3 phòng,,4 tầng,4 phòng
"Đường Nguyễn Dữ, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",Thỏa thuận,,80 m²,4 phòng,,3 tầng,4 phòng
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,78 m²,,,,
,,,,,,,
"Đường 5, Xã Hòa Ninh, Hòa Vang, Đà Nẵng",25 tỷ,"~312,5 nghìn/m²",80.000 m²,Nam,Sổ đỏ/ Sổ hồng,40 m,6 m
"Xã Hòa Ninh, Hòa Vang, Đà Nẵng",2 tỷ,"~66,67 nghìn/m²",30.000 m²,Tây - Nam,Sổ đỏ/ Sổ hồng,55 m,6 m
"Đường ĐT 602, Xã Hòa Ninh, Hòa Vang, Đà Nẵng",Thỏa thuận,,13.000 m²,Nam,Sổ đỏ/ Sổ hồng,22 m,5 m
"Đường Kinh Dương Vương, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","5,25 tỷ","~48,61 triệu/m²",108 m²,Đông - Nam,Đã có sổ.,5 m,15 m
"Đường Nguyễn Văn Thoại, Phường An Hải Đông, Sơn Trà, Đà Nẵng","25,5 tỷ","~283,33 triệu/m²",90 m²,Đông - Nam,2 tầng,15 m,20 m
"Đường Phú Xuân 6, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","5,29 tỷ","~70,53 triệu/m²",75 m²,Đông - Nam,Đông - Nam,5 m,5.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,71 m²,Cơ bản,,Tây,2 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","4,15 tỷ",~50 triệu/m²,83 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,2 phòng
"Đường Nguyễn Thị Cận, Phường Hòa An, Cẩm Lệ, Đà Nẵng","3,3 tỷ","~25,78 triệu/m²",128 m²,Tây - Bắc,Sổ đỏ/ Sổ hồng,6.5 m,8 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",26 triệu/m²,"~1,76 tỷ","67,5 m²",Sổ đỏ/ Sổ hồng,,2 phòng,2 phòng
"Đường Trần Khánh Dư, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng","5,8 tỷ","~82,86 triệu/m²",70 m²,,,5.5 m,Đông - Bắc
"Đường Tô Hiệu, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","2,98 tỷ","~49,58 triệu/m²","60,1 m²",Tây - Nam,Tây - Nam,5.78 m,3 m
"Đường Hoàng Diệu, Phường Hòa Thuận Đông, Hải Châu, Đà Nẵng",38 tỷ,"~215,91 triệu/m²",176 m²,5 phòng,Sổ đỏ/ Sổ hồng,4 tầng,5 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",49 triệu/m²,"~3,92 tỷ",80 m²,Sổ đỏ/ Sổ hồng,,2 phòng,2 phòng
"Đường Trần Huy Liệu, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",Thỏa thuận,,"67,5 m²",3 tầng,4 phòng,6 m,7.5 m
"Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",12 tỷ,"~34,78 triệu/m²",345 m²,3 phòng,Sổ đỏ/ Sổ hồng.,2 tầng,2 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,6 tỷ","~43,64 triệu/m²","82,5 m²",2 phòng,2 phòng,Đông - Bắc,Đông - Bắc
"Đường Nguyễn Thị Bảy, Phường Thanh Khê Đông, Thanh Khê, Đà Nẵng","5,1 tỷ","~56,67 triệu/m²",90 m²,3 phòng,Sổ đỏ/ Sổ hồng,3 tầng,3 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","3,81 tỷ","~45,9 triệu/m²",83 m²,3 phòng,2 phòng,Đông - Bắc,Tây - Nam
"Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",26 triệu/m²,"~1,85 tỷ",71 m²,Hợp đồng mua bán,Đầy đủ,2 phòng,2 phòng
"Dự án Regal Pavillon Đà Nẵng, Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng","14,9 tỷ","~124,17 triệu/m²",120 m²,,,Đông - Nam,
"Đường Ngô Quyền, Phường An Hải Bắc, Sơn Trà, Đà Nẵng",75 triệu/m²,"~36,75 tỷ",490 m²,Tây - Bắc,Sổ đỏ/ Sổ hồng,20 m,48 m
"Dự án Golden Hills City, Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng","1,85 tỷ","~14,8 triệu/m²",125 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,5 m,7.5 m
"Dự án Regal Pavillon Đà Nẵng, Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng","14,9 tỷ","~124,17 triệu/m²",120 m²,4 tầng,5 phòng,Đông - Nam,Đông - Nam
"Dự án FLC Eco Charm, Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",18 triệu/m²,"~3,6 tỷ",200 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,13 m,6 m
"Dự án Golden Hills City, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",Thỏa thuận,,"187,5 m²",Đông - Nam,,7.5 m,15 m
"Dự án Lakeside Palace, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng","1,95 tỷ","~15,6 triệu/m²",125 m²,Đã có sổ đỏ và sổ hồng.,,5 m,5.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,"82,5 m²",Sổ đỏ/ Sổ hồng,Cơ bản,2 phòng,2 phòng
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,"82,5 m²",Sổ đỏ/ Sổ hồng,Cơ bản,2 phòng,2 phòng
"Nguyễn Văn Cừ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",,,,,,,
"Đường Mỹ Đa Đông 8, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng","4,4 tỷ","~43,14 triệu/m²",102 m²,1 tầng,2 phòng,5 m,5 m
"Đường Lê Đình Thám, Phường Hòa Thuận Đông, Hải Châu, Đà Nẵng","8,9 tỷ","~114,1 triệu/m²",78 m²,3 phòng,2 phòng,10.5 m,3 tầng
"Đường Đỗ Bá, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",43 tỷ,"~238,89 triệu/m²",180 m²,Bắc,sổ hồng chính chủ,9 m,20 m
"Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",55 triệu/m²,"~16,5 tỷ",300 m²,Sổ đỏ/ Sổ hồng,,12 m,Tây - Bắc
"Dự án Euro Village 2, Đường Giáng Hương 11, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",53 triệu/m²,"~15,9 tỷ",300 m²,Sổ đỏ/ Sổ hồng,,12 m,Đông - Nam
"Đường Tô Hiệu, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","2,99 tỷ","~49,83 triệu/m²",60 m²,3 phòng,3 phòng,Tây - Nam,3 tầng
"Dự án Căn hộ Quang Nguyễn, Đường Nguyễn Hữu Thọ, Hải Châu, Đà Nẵng","2,3 tỷ","~31,94 triệu/m²",72 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,2 phòng
"Đường Nguyễn Hoàng, Phường Hải Châu II, Hải Châu, Đà Nẵng",,,,,,,
"Đường Tô Hiệu, Phường Hòa Minh, Liên Chiểu, Đà Nẵng","2,99 tỷ","~49,83 triệu/m²",60 m²,,,,
"Đường Hùng Vương, Phường Hải Châu I, Hải Châu, Đà Nẵng",,,,,,,
"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",,,,,,,
"Đường An Nhơn 4, Phường An Hải Bắc, Sơn Trà, Đà Nẵng","3,3 tỷ",~60 triệu/m²,55 m²,1 tầng,2 phòng,55 m,55 m
"Đường Hoàng Diệu, Phường Bình Thuận, Hải Châu, Đà Nẵng","2,55 tỷ",~51 triệu/m²,50 m²,2 tầng,3 phòng,2.5 m,Đông - Nam
"Dự án FPT City Đà Nẵng, Đường Võ Qúy Huân, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,8 tỷ","~26,47 triệu/m²",68 m²,2 phòng,2 phòng,Đông - Nam,Đông - Bắc
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,8 tỷ","~27,45 triệu/m²",102 m²,Bắc,Sổ đỏ/ Sổ hồng.,6 m,7.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","3,45 tỷ","~31,08 triệu/m²",111 m²,Bắc,Sổ đỏ/ Sổ hồng.,6 m,7.5 m
"Dự án FPT City Đà Nẵng, Đường Võ Qúy Huân, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,8 tỷ","~26,47 triệu/m²",68 m²,2 phòng,2 phòng,Đông - Nam,Đông - Bắc
"Đường Minh Mạng, Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",,,,,,,
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,68 tỷ","~24,71 triệu/m²",68 m²,,,Sổ đỏ/ Sổ hồng,
"Dự án KĐT Hòa Xuân mở rộng, Đường Trần Nam Trung, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",5.350 tỷ,"~53,5 tỷ/m²",100 m²,Tây - Bắc,,5 m,15 m
"Dự án FPT City Đà Nẵng, Đường Võ Qúy Huân, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,6 tỷ","~23,53 triệu/m²",68 m²,2 phòng,2 phòng,Đông - Nam,Đông - Nam
"Xã Hòa Bắc, Hòa Vang, Đà Nẵng",14 tỷ,~350 nghìn/m²,40.000 m²,,,7.5 m,Sổ đỏ/ Sổ hồng.
