address,price,extPrice,area,room,toilet,hDirection,bDirection
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","1,53 tỷ","~22,5 triệu/m²",68 m²,,,2 phòng,2 phòng
"Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",55 triệu/m²,"~20,62 tỷ",375 m²,,,Sổ đỏ/ Sổ hồng,
"Đường Hồ Nghinh, Phường Phước Mỹ, Sơn Trà, Đà Nẵng","39,5 tỷ","~150,76 triệu/m²",262 m²,Đông,Sổ đỏ/ Sổ hồng,10.7 m,20 m
"Phường Hòa Quý, Ngũ Hành Sơn, Đà Nẵng",4 tỷ,~40 triệu/m²,100 m²,Tây - Nam,Tây - Nam,5 m,7.5 m
"Đường Phan Huy Chú, Phường An Hải Tây, Sơn Trà, Đà Nẵng",10 tỷ,"~58,82 triệu/m²",170 m²,Đông - Bắc,Sổ đỏ/ Sổ hồng,10 m,5.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,"105,5 m²",3 phòng,2 phòng,Đông - Nam,Đông - Nam
"Đường Phan Kế Bính, Phường Thuận Phước, Hải Châu, Đà Nẵng","5,6 tỷ","~83,58 triệu/m²",67 m²,Nam,Nam,4.3 m,6 m
"Đường Vân Đồn, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng","1,07 tỷ","~20,58 triệu/m²",52 m²,2 phòng,1 phòng,Nam,Bắc
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",49 triệu/m²,"~3,79 tỷ","77,4 m²",Sổ đỏ/ Sổ hồng,Cơ bản,2 phòng,2 phòng
"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Hải Châu, Đà Nẵng","2,55 tỷ","~63,75 triệu/m²",40 m²,3 phòng,3 phòng,Nam,3 tầng
"Dự án The Sang Residence, Ngũ Hành Sơn, Đà Nẵng","3,7 tỷ","~44,85 triệu/m²","82,5 m²",2 phòng,2 phòng,Đông - Nam,Đông - Nam
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",130 triệu/m²,~13 tỷ,100 m²,7 tầng,18 phòng,5 m,13.5 m
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,78 m²,2 phòng,2 phòng,Đông - Nam,Đông - Nam
"Đường Kinh Dương Vương, Phường Thanh Khê Tây, Thanh Khê, Đà Nẵng",Thỏa thuận,,210 m²,Sổ đỏ/ Sổ hồng,,9 m,15 m
"Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng","5,85 tỷ","~58,5 triệu/m²",100 m²,3 phòng,4 phòng,Tây - Nam,3 tầng
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,98 m²,,,,
"Đường 602, Xã Hòa Ninh, Hòa Vang, Đà Nẵng","7,2 tỷ","~2,06 triệu/m²",3.500 m²,Đông - Nam,Sổ đỏ/ Sổ hồng,35 m,5 m
"Đường Thép Mới, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng","2,6 tỷ",~26 triệu/m²,100 m²,Sổ đỏ/ Sổ hồng,,7.5 m,Bắc
"Đường 5, Xã Hòa Ninh, Hòa Vang, Đà Nẵng",25 tỷ,"~312,5 nghìn/m²",80.000 m²,Nam,Sổ đỏ/ Sổ hồng,40 m,6 m
"Dự án Sun Cosmo Residence, Đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,49 m²,,,,
"Đường Cao Xuân Huy, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",10 tỷ,~100 triệu/m²,100 m²,Đông,Bắc,6 m,5.5 m
"Dự án The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Thỏa thuận,,83 m²,Sổ đỏ/ Sổ hồng.,,2 phòng,2 phòng
"Dự án FPT City Đà Nẵng, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",32 triệu/m²,"~36,64 tỷ",1.145 m²,Bắc,Sổ đỏ/ Sổ hồng,38 m,7.5 m
"Đường Mỹ Khê 4, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",11 tỷ,"~73,33 triệu/m²",150 m²,Sổ đỏ/ Sổ hồng.,,5 m,5.5 m
"Dự án The 6Nature Đà Nẵng, Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng","6,2 tỷ","~70,46 triệu/m²",88 m²,2 phòng,2 phòng,Tây,Tây
